iso	url	name	place_id
630	http://upload.wikimedia.org/wikipedia/commons/2/28/Flag_of_Puerto_Rico.svg	Puerto Rico	6848
634	http://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg	Qatar	7357
638	http://upload.wikimedia.org/wikipedia/commons/5/5a/Flag_of_Réunion.svg	Reunion	8834
642	http://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg	Romania	8858
643	http://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg	Russia	7161
646	http://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Rwanda.svg	Rwanda	7142
652	http://upload.wikimedia.org/wikipedia/commons/d/df/Flag_of_Saint_Barthelemy_(local).svg	Saint Barthelemy	51356
654	http://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Saint_Helena.svg	Saint Helena	6685
659	http://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg	Saint Kitts and Nevis	10297
662	http://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Saint_Lucia.svg	Saint Lucia	10300
663	http://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg	Saint-Martin	51360
666	http://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_Saint-Pierre_and_Miquelon.svg	Saint Pierre and Miquelon	10311
670	http://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg	Saint Vincent and the Grenadines	10317
882	http://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg	Samoa	8504
674	http://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_San_Marino.svg	San Marino	10310
678	http://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg	Sao Tome and Principe	9173
682	http://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg	Saudi Arabia	7358
686	http://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg	Senegal	6845
688	http://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg	Serbia	7147
690	http://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Seychelles.svg	Seychelles	8358
694	http://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg	Sierra Leone	7487
702	http://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg	Singapore	6734
534	http://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Sint_Maarten.svg	Sint Maarten	10411
703	http://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg	Slovakia	8267
705	http://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg	Slovenia	8228
90	http://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg	Solomon Islands	7081
706	http://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg	Somalia	7218
710	http://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg	South Africa	6986
239	http://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_South_Georgia_and_the_South_Sandwich_Islands.svg	South Georgia and the South Sandwich Islands	7985
728	http://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg	The Republic of South Sudan	51754
724	http://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg	Spain	6774
144	http://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg	Sri Lanka	7077
729	http://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg	Sudan	7064
740	http://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg	Suriname	7827
744	http://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg	Svalbard and Jan Mayen	7353
748	http://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_Swaziland.svg	Swaziland	7143
752	http://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg	Sweden	7599
756	http://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Switzerland.svg	Switzerland	7236
760	http://upload.wikimedia.org/wikipedia/commons/5/53/Flag_of_Syria.svg	Syria	8207
158	http://upload.wikimedia.org/wikipedia/commons/7/72/Flag_of_the_Republic_of_China.svg	Taiwan	7887
762	http://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg	Tajikistan	8435
834	http://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg	Tanzania	7144
764	http://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg	Thailand	6967
626	http://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg	East Timor	10314
768	http://upload.wikimedia.org/wikipedia/commons/6/68/Flag_of_Togo.svg	Togo	8516
772	http://upload.wikimedia.org/wikipedia/commons/8/8e/Flag_of_Tokelau.svg	Tokelau	10313
776	http://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg	Tonga	7841
780	http://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg	Trinidad and Tobago	7375
788	http://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg	Tunisia	7312
792	http://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg	Turkey	7183
795	http://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg	Turkmenistan	7351
796	http://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg	Turks and Caicos Islands	7315
798	http://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg	Tuvalu	10315
800	http://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg	Uganda	6968
804	http://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg	Ukraine	8860
784	http://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg	United Arab Emirates	7359
826	http://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg	United Kingdom	6857
840	http://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg	United States	1
581	http://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg	United States Minor Outlying Islands	10316
858	http://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg	Uruguay	7259
860	http://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg	Uzbekistan	7352
548	http://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Vanuatu.svg	Vanuatu	7082
862	http://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg	Venezuela	1303
704	http://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg	Vietnam	6847
92	http://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_the_British_Virgin_Islands.svg	British Virgin Islands	10318
850	http://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_the_United_States_Virgin_Islands.svg	Virgin Islands	10319
876	http://upload.wikimedia.org/wikipedia/commons/d/d2/Flag_of_Wallis_and_Futuna.svg	Wallis and Futuna	7334
732	http://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_the_Sahrawi_Arab_Democratic_Republic.svg	Western Sahara	10321
887	http://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg	Yemen	7837
894	http://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg	Zambia	7145
716	http://upload.wikimedia.org/wikipedia/commons/6/6a/Flag_of_Zimbabwe.svg	Zimbabwe	7146
null	null	Clipperton Island	10320
-2	null	Kosovo	10298
