iso	url	name	place_id	ratio
834	https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg	Tanzania	7144	1.5
764	https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg	Thailand	6967	1.5
626	https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg	East Timor	10314	2
768	https://upload.wikimedia.org/wikipedia/commons/6/68/Flag_of_Togo.svg	Togo	8516	1.618
772	https://upload.wikimedia.org/wikipedia/commons/8/8e/Flag_of_Tokelau.svg	Tokelau	10313	2
776	https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg	Tonga	7841	2
780	https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg	Trinidad and Tobago	7375	1.667
788	https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg	Tunisia	7312	1.5
792	https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg	Turkey	7183	1.5
795	https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg	Turkmenistan	7351	1.5
796	https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg	Turks and Caicos Islands	7315	2
798	https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg	Tuvalu	10315	2
800	https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg	Uganda	6968	1.5
804	https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg	Ukraine	8860	1.5
784	https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg	United Arab Emirates	7359	2
826	https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg	United Kingdom	6857	2
840	https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg	United States	1	1.9
581	https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg	United States Minor Outlying Islands	10316	1.9
858	https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg	Uruguay	7259	1.5
860	https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg	Uzbekistan	7352	2
548	https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Vanuatu.svg	Vanuatu	7082	1.895
862	https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg	Venezuela	1303	1.5
704	https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg	Vietnam	6847	1.5
92	https://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_the_British_Virgin_Islands.svg	British Virgin Islands	10318	2
