county_name	geoid	url	obs_count	iconic_taxon	common_name	sci_name	photo	photo_attribution	critter_obs_count
Hutchinson County, TX	48233	http://www.inaturalist.org/observations?place_id=770	48	26036	Ornate Box Turtle	Terrapene ornata	http://farm8.staticflickr.com/7128/7414357706_6893daa089_s.jpg	(c) Eric Osmundson, some rights reserved (CC BY-NC-SA)	3
Brazos County, TX	48041	http://www.inaturalist.org/observations?place_id=799	1830	26036	Red-eared Slider	Trachemys scripta elegans	http://static.inaturalist.org/photos/49935/square.jpg?1444359856	(c) Syd Phillips, some rights reserved (CC BY-NC)	83
Jeff Davis County, TX	48243	http://www.inaturalist.org/observations?place_id=969	2098	26036	Western Diamondback Rattlesnake	Crotalus atrox	http://farm2.staticflickr.com/1275/1347727277_5dae0335df_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	63
Hardin County, TX	48199	http://www.inaturalist.org/observations?place_id=973	2149	26036	Green Anole	Anolis carolinensis	http://static.inaturalist.org/photos/2626904/square.jpg?1447012355	(c) Roberto R. Calderón, some rights reserved (CC BY-NC)	21
Jefferson County, TX	48245	http://www.inaturalist.org/observations?place_id=980	413	3	White-winged Dove	Zenaida asiatica	http://farm4.staticflickr.com/3586/3526799744_8ded7dda46_s.jpg	(c) Francesco Veronesi, some rights reserved (CC BY-NC-SA)	8
Presidio County, TX	48377	http://www.inaturalist.org/observations?place_id=985	924	26036	Western Diamondback Rattlesnake	Crotalus atrox	http://farm2.staticflickr.com/1275/1347727277_5dae0335df_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	38
Coryell County, TX	48099	http://www.inaturalist.org/observations?place_id=1146	150	47126	Antelope-Horns	Asclepias asperula	http://farm5.staticflickr.com/4011/4598865694_084be60a51_s.jpg	(c) Susan Adams, some rights reserved (CC BY-NC-SA)	7
Hopkins County, TX	48223	http://www.inaturalist.org/observations?place_id=1201	144	47126	Green milkweed	Asclepias viridis	http://farm4.staticflickr.com/3007/2636502424_559a3dd8c4_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	3
Howard County, TX	48227	http://www.inaturalist.org/observations?place_id=1202	87	47126	Broadleaf milkweed	Asclepias latifolia	http://farm4.staticflickr.com/3083/3664036604_028e9e22b3_s.jpg	(c) Gary Nored, some rights reserved (CC BY-NC)	5
McCulloch County, TX	48307	http://www.inaturalist.org/observations?place_id=1280	87	26036	Great Plains Ratsnake	Pantherophis emoryi	http://farm5.staticflickr.com/4084/4975125306_a735dc8979_s.jpg	(c) A. Jaszlics, some rights reserved (CC BY-NC)	3
