"login","user_id","user_icon","identifications","species","wg","wg"
"globetrot",218401,"https://static.inaturalist.org/attachments/users/icons/218401/medium.jpg?1491051098",23,23,0,0
"pasqualearcheoguide89",440396,"https://static.inaturalist.org/attachments/users/icons/440396/medium.jpeg?1491292733",23,22,0,0
"crowechild",528178,"",23,15,0,0
"feesh",622867,"https://static.inaturalist.org/attachments/users/icons/622867/medium.jpg?1507428757",23,3,0,0
"noahjohnson",716356,"https://static.inaturalist.org/attachments/users/icons/716356/medium.jpg?1511665635",23,22,0,0
"tiwane",28,"http://staticdev.inaturalist.org/attachments/users/icons/28/medium.jpg?1494561255",22,22,0,0
"rudyard",13370,"https://static.inaturalist.org/attachments/users/icons/13370/medium.jpeg?1475533850",22,25,0,0
"rayray",274968,"https://static.inaturalist.org/attachments/users/icons/274968/medium.jpg?1499654375",22,27,0,0
"jeffperry",288697,"https://static.inaturalist.org/attachments/users/icons/288697/medium.jpeg?1475532179",22,35,0,0
"ryan84",292007,"https://static.inaturalist.org/attachments/users/icons/292007/medium.png?1499318813",22,18,0,0
"robjamax",11383,"https://static.inaturalist.org/attachments/users/icons/11383/medium.jpeg?1506347798",21,19,0,0
"hawnzd",51931,"https://static.inaturalist.org/attachments/users/icons/51931/medium.jpg?1495751150",21,15,0,0
"jbroadhead3",228699,"https://static.inaturalist.org/attachments/users/icons/228699/medium.jpg?1503861329",21,19,0,0
"enri7",277946,"https://static.inaturalist.org/attachments/users/icons/277946/medium.jpg?1512257464",21,15,0,0
"danjleavitt",3288,"https://static.inaturalist.org/attachments/users/icons/3288/medium.jpg?1495976290",20,29,0,0
"sarahroberts",38701,"https://static.inaturalist.org/attachments/users/icons/38701/medium.jpg?1475547576",20,65,0,0
"philkahler",71307,"https://static.inaturalist.org/attachments/users/icons/71307/medium.jpg?1475549138",20,7,0,0
"robbuckbirder",179426,"https://static.inaturalist.org/attachments/users/icons/179426/medium.jpg?1499027107",20,12,0,0
"neontetraploid",220795,"https://static.inaturalist.org/attachments/users/icons/220795/medium.jpg?1475540856",20,14,0,0
"rangertreaty50",261991,"https://static.inaturalist.org/attachments/users/icons/261991/medium.jpg?1499040452",20,16,0,0
"amiacalva",369934,"https://static.inaturalist.org/attachments/users/icons/369934/medium.jpg?1479323199",20,18,0,0
"bob_p",376997,"https://static.inaturalist.org/attachments/users/icons/376997/medium.jpg?1487276047",20,17,0,0
"allanlugg",382861,"",20,17,0,0
"rick-ludd",383000,"",20,19,0,0
"jcs13",411512,"https://static.inaturalist.org/attachments/users/icons/411512/medium.png?1512079194",20,17,0,0
