"login","user_id","user_icon","identifications","species","wg"
"richardmonteverdense",386641,"https://static.inaturalist.org/attachments/users/icons/386641/medium.jpg?1489792315",32,12,0
"ryancooke",469469,"https://static.inaturalist.org/attachments/users/icons/469469/medium.jpg?1497408727",32,5,0
"weathergaltx",9699,"https://static.inaturalist.org/attachments/users/icons/9699/medium.jpg?1475532220",31,7,0
"nicolascatassi",84694,"https://static.inaturalist.org/attachments/users/icons/84694/medium.jpg?1475546866",31,14,0
"tjsonger16",124824,"",31,17,0
"mfbenard",127104,"https://static.inaturalist.org/attachments/users/icons/127104/medium.jpg?1475542565",31,11,0
"datilson",198154,"https://static.inaturalist.org/attachments/users/icons/198154/medium.jpg?1496589743",31,26,0
"dingerdynasty",240598,"https://static.inaturalist.org/attachments/users/icons/240598/medium.jpeg?1500191457",31,12,0
"cjustus320",247120,"https://static.inaturalist.org/attachments/users/icons/247120/medium.jpg?1497931138",31,9,0
"daniel_folds",269252,"",31,22,0
"joemdo",349183,"https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1477097260",31,11,0
"dleonard",409589,"https://static.inaturalist.org/attachments/users/icons/409589/medium.jpg?1488432328",31,13,0
"walkingstick2",448026,"https://static.inaturalist.org/attachments/users/icons/448026/medium.jpg?1492381952",31,2,0
"duarte",3042,"https://static.inaturalist.org/attachments/users/icons/3042/medium.png?1475528686",30,23,0
"kylejones",11792,"https://static.inaturalist.org/attachments/users/icons/11792/medium.jpg?1475533125",30,15,0
"bhollingsworth",12868,"https://static.inaturalist.org/attachments/users/icons/12868/medium.jpg?1475533643",30,16,0
"kevinhintsa",38530,"https://static.inaturalist.org/attachments/users/icons/38530/medium.jpg?1475547495",30,18,0
"markread",113793,"https://static.inaturalist.org/attachments/users/icons/113793/medium.jpg?1495794866",30,8,0
"joey_swamps",127455,"https://static.inaturalist.org/attachments/users/icons/127455/medium.jpg?1501651861",30,18,0
"davidmt83",130660,"https://static.inaturalist.org/attachments/users/icons/130660/medium.jpg?1504556816",30,15,0
